"player","nation","pos","league","team","age","matches_played","matches_started","mins_played","played_90s","goals","assists","np_goals","pens_scored","pens_taken","yellows","reds","xG","npxG","xAG","prog_carries","prog_passes"
"Daichi Kamada","JPN","MF","Premier League","Crystal Palace","27","34","15","1,564",17.4,"0","0","0","0","0","4","1","1.1","1.1","1.9","25","89"
"Boubacar Kamara","FRA","MF","Premier League","Aston Villa","24","26","20","1,726",19.2,"1","0","1","0","0","2","0","0.8","0.8","0.9","19","85"
"Michael Kayode","ITA","DF","Premier League","Brentford","20","12","6","528",5.9,"0","1","0","0","0","2","0","0.2","0.2","1.2","12","12"
"Michael Keane","ENG","DF","Premier League","Everton","31","14","11","1,049",11.7,"3","0","3","0","0","5","0","0.6","0.6","0.1","1","14"
"Caoimhín Kelleher","IRL","GK","Premier League","Liverpool","25","10","10","900",10,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"Milos Kerkez","HUN","DF","Premier League","Bournemouth","20","38","38","3,336",37.1,"2","5","2","0","0","4","0","0.6","0.5","3.9","106","159"
"Bilal El Khannouss","MAR","MF,FW","Premier League","Leicester City","20","32","27","2,182",24.2,"2","3","2","0","0","4","0","1.3","1.3","4.6","73","128"
"Abdukodir Khusanov","UZB","DF","Premier League","Manchester City","20","6","6","503",5.6,"0","0","0","0","0","1","0","0.0","0.0","0.1","1","25"
"Max Kilman","ENG","DF","Premier League","West Ham","27","38","38","3,348",37.2,"0","1","0","0","0","5","0","1.6","1.6","1.2","31","113"
"Antonín Kinský","CZE","GK","Premier League","Tottenham","21","6","6","540",6,"0","0","0","0","0","0","0","0.0","0.0","0.1","1","1"
"Jakub Kiwior","POL","DF","Premier League","Arsenal","24","17","10","1,122",12.5,"1","0","1","0","0","1","0","0.2","0.2","0.3","5","48"
"Justin Kluivert","NED","MF","Premier League","Bournemouth","25","34","29","2,340",26,"12","6","6","6","6","8","0","10.3","5.6","4.8","81","105"
"Ibrahima Konaté","FRA","DF","Premier League","Liverpool","25","31","30","2,560",28.4,"1","2","1","0","0","5","0","1.7","1.7","1.0","25","115"
"Ezri Konsa","ENG","DF","Premier League","Aston Villa","26","34","33","2,936",32.6,"2","0","2","0","0","1","0","1.3","1.3","0.4","24","90"
"Mateo Kovačić","CRO","MF","Premier League","Manchester City","30","31","25","2,198",24.4,"6","2","6","0","0","5","1","1.9","1.9","3.6","56","164"
"Mohammed Kudus","GHA","FW,MF","Premier League","West Ham","23","32","31","2,590",28.8,"5","3","5","0","0","2","1","6.9","6.9","3.1","98","79"
"Dejan Kulusevski","SWE","MF,FW","Premier League","Tottenham","24","32","27","2,389",26.5,"7","4","7","0","0","3","0","4.2","4.2","6.2","120","124"
"Maxence Lacroix","FRA","DF","Premier League","Crystal Palace","24","35","35","3,116",34.6,"1","1","1","0","0","5","0","3.4","3.4","1.0","8","65"
"Tariq Lamptey","GHA","DF","Premier League","Brighton","23","15","10","860",9.6,"2","2","2","0","0","0","0","0.4","0.4","0.8","32","14"
"Roméo Lavia","BEL","MF","Premier League","Chelsea","20","16","11","797",8.9,"0","1","0","0","0","4","0","0.3","0.3","0.7","3","31"
"Mario Lemina","GAB","MF,DF","Premier League","Wolves","30","17","15","1,364",15.2,"1","3","1","0","0","4","0","1.4","1.4","1.1","8","48"
"Bernd Leno","GER","GK","Premier League","Fulham","32","38","38","3,420",38,"0","1","0","0","0","5","0","0.0","0.0","0.1","0","0"
"Jefferson Lerma","COL","MF,DF","Premier League","Crystal Palace","29","33","26","2,274",25.3,"0","1","0","0","0","9","0","1.1","1.1","1.6","13","97"
"Rico Lewis","ENG","DF,MF","Premier League","Manchester City","19","28","21","1,893",21,"1","2","1","0","0","5","1","1.4","1.4","0.3","39","107"
"Keane Lewis-Potter","ENG","DF,FW","Premier League","Brentford","23","38","36","3,093",34.4,"1","3","1","0","0","7","0","3.1","3.1","3.2","98","98"
"Myles Lewis-Skelly","ENG","DF","Premier League","Arsenal","17","23","15","1,369",15.2,"1","0","1","0","0","3","2","0.2","0.2","0.4","37","71"
"Matthijs de Ligt","NED","DF","Premier League","Manchester Utd","24","29","25","2,123",23.6,"2","0","2","0","0","3","0","2.5","2.5","0.3","7","55"
"Victor Lindelöf","SWE","DF","Premier League","Manchester Utd","30","16","6","704",7.8,"0","0","0","0","0","1","0","0.0","0.0","0.1","5","26"
"Jesper Lindstrøm","DEN","FW","Premier League","Everton","24","25","15","1,239",13.8,"0","1","0","0","0","2","0","2.1","2.1","2.0","30","25"
"Valentino Livramento","ENG","DF","Premier League","Newcastle Utd","21","37","32","2,840",31.6,"0","1","0","0","0","1","0","0.3","0.3","2.6","83","158"
"Sean Longstaff","ENG","MF","Premier League","Newcastle Utd","26","25","8","798",8.9,"0","0","0","0","0","2","0","0.6","0.6","0.2","4","40"
"Saša Lukić","SRB","MF","Premier League","Fulham","27","30","28","2,344",26,"0","2","0","0","0","12","0","1.2","1.2","2.7","39","98"
"Ian Maatsen","NED","DF","Premier League","Aston Villa","22","29","10","1,139",12.7,"1","2","1","0","0","2","0","0.9","0.9","2.7","31","50"
"Alexis Mac Allister","ARG","MF","Premier League","Liverpool","25","35","30","2,599",28.9,"5","5","5","0","0","6","0","2.8","2.8","4.7","36","177"
"James Maddison","ENG","MF","Premier League","Tottenham","27","31","21","1,809",20.1,"9","7","9","0","0","6","0","5.8","5.8","4.2","45","164"
"Noni Madueke","ENG","FW","Premier League","Chelsea","22","32","27","2,033",22.6,"7","3","7","0","0","3","0","9.6","9.6","4.2","154","69"
"Gabriel Magalhães","BRA","DF","Premier League","Arsenal","26","28","28","2,363",26.3,"3","1","3","0","0","4","0","2.6","2.6","0.9","10","126"
"Harry Maguire","ENG","DF","Premier League","Manchester Utd","31","27","19","1,758",19.5,"1","0","1","0","0","7","0","1.8","1.8","0.6","7","51"
"Kobbie Mainoo","ENG","MF","Premier League","Manchester Utd","19","25","19","1,651",18.3,"0","0","0","0","0","5","0","0.7","0.7","1.6","22","65"
"Orel Mangala","BEL","MF","Premier League","Everton","26","19","14","1,261",14,"1","0","1","0","0","2","0","1.1","1.1","0.6","6","34"
"Ryan Manning","IRL","DF,MF","Premier League","Southampton","28","24","18","1,462",16.2,"0","1","0","0","0","2","0","0.3","0.3","3.2","14","35"
"Omar Marmoush","EGY","FW,MF","Premier League","Manchester City","25","16","14","1,175",13.1,"7","0","7","0","0","0","0","5.5","5.5","2.8","29","37"
"Gabriel Martinelli","BRA","FW,MF","Premier League","Arsenal","23","33","25","2,290",25.4,"8","4","8","0","0","1","0","7.4","7.4","5.0","124","52"
"Emiliano Martínez","ARG","GK","Premier League","Aston Villa","31","37","37","3,194",35.5,"0","0","0","0","0","5","1","0.0","0.0","0.5","0","4"
"Lisandro Martínez","ARG","DF","Premier League","Manchester Utd","26","20","20","1,751",19.5,"2","1","2","0","0","7","0","1.3","1.3","1.1","23","117"
"Pape Matar Sarr","SEN","MF","Premier League","Tottenham","21","36","22","1,913",21.3,"3","2","3","0","0","6","0","3.7","3.7","1.6","33","88"
"Jean-Philippe Mateta","FRA","FW","Premier League","Crystal Palace","27","37","33","2,648",29.4,"14","2","12","2","2","2","0","13.5","11.9","3.2","45","52"
"Stephy Mavididi","ENG","FW","Premier League","Leicester City","26","30","16","1,615",17.9,"4","1","4","0","0","2","0","1.8","1.8","2.6","91","57"
"Konstantinos Mavropanos","GRE","DF","Premier League","West Ham","26","33","21","2,045",22.7,"0","0","0","0","0","6","1","1.5","1.5","0.5","17","61"
"Noussair Mazraoui","MAR","DF","Premier League","Manchester Utd","26","37","34","2,838",31.5,"0","1","0","0","0","3","0","0.7","0.7","1.5","42","115"
"Bryan Mbeumo","CMR","FW","Premier League","Brentford","24","38","38","3,414",37.9,"20","7","15","5","6","3","0","12.3","7.5","8.3","130","141"
"Kasey McAteer","IRL","FW","Premier League","Leicester City","22","18","9","852",9.5,"1","1","1","0","0","3","0","1.0","1.0","0.7","19","14"
"Alex McCarthy","ENG","GK","Premier League","Southampton","34","5","5","450",5,"0","0","0","0","0","0","0","0.0","0.0","0.0","0","0"
"John McGinn","SCO","MF,FW","Premier League","Aston Villa","29","34","27","2,223",24.7,"1","4","1","0","0","7","0","3.1","2.8","3.5","32","103"
"Dwight McNeil","ENG","MF,FW","Premier League","Everton","24","21","15","1,371",15.2,"4","6","4","0","0","1","0","1.1","1.1","5.2","38","69"
"Mikel Merino","ESP","MF,FW","Premier League","Arsenal","28","28","17","1,586",17.6,"7","2","7","0","0","4","1","5.9","5.9","2.0","11","69"
"Nikola Milenković","SRB","DF","Premier League","Nott'ham Forest","26","37","37","3,330",37,"5","2","5","0","0","4","0","4.0","4.0","1.1","3","51"
"Tyrone Mings","ENG","DF","Premier League","Aston Villa","31","14","12","1,120",12.4,"0","0","0","0","0","1","0","0.8","0.8","0.2","7","40"
"Yankuba Minteh","GAM","FW,MF","Premier League","Brighton","20","32","20","1,838",20.4,"6","4","6","0","0","6","0","4.1","4.1","5.0","90","48"
"Tyrick Mitchell","ENG","DF","Premier League","Crystal Palace","24","37","37","3,092",34.4,"0","5","0","0","0","2","0","1.3","1.3","6.4","63","70"
"Kaoru Mitoma","JPN","FW,MF","Premier League","Brighton","27","36","28","2,603",28.9,"10","4","10","0","0","1","0","9.2","9.2","4.6","146","89"
"Morato","BRA","DF","Premier League","Nott'ham Forest","23","26","6","907",10.1,"0","0","0","0","0","5","0","0.2","0.2","0.0","1","19"
"Álex Moreno","ESP","DF,MF","Premier League","Nott'ham Forest","31","15","11","955",10.6,"0","1","0","0","0","2","0","0.2","0.2","1.3","26","34"
"Sam Morsy","EGY","MF","Premier League","Ipswich Town","32","33","31","2,751",30.6,"1","1","1","0","0","10","0","0.4","0.4","1.2","22","120"
"Yerson Mosquera","COL","DF","Premier League","Wolves","23","5","5","441",4.9,"0","0","0","0","0","2","0","0.3","0.3","0.1","0","7"
"Mason Mount","ENG","MF","Premier League","Manchester Utd","25","17","8","622",6.9,"1","0","1","0","0","3","0","3.2","3.2","0.6","15","33"
"Marshall Munetsi","ZIM","MF,FW","Premier League","Wolves","28","14","12","1,078",12,"2","1","2","0","0","0","0","3.3","3.3","1.8","9","10"
"Rodrigo Muniz","BRA","FW","Premier League","Fulham","23","31","8","964",10.7,"8","1","8","0","0","1","0","5.8","5.8","0.7","6","27"
"Daniel Muñoz","COL","DF","Premier League","Crystal Palace","28","37","37","3,228",35.9,"4","5","4","0","0","10","0","4.9","4.9","5.5","62","97"
"Arijanet Muric","KVX","GK","Premier League","Ipswich Town","25","18","18","1,620",18,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","1"
"Murillo","BRA","DF","Premier League","Nott'ham Forest","22","36","36","3,188",35.4,"2","0","2","0","0","6","0","1.4","1.4","1.2","22","115"
"Jacob Murphy","ENG","FW","Premier League","Newcastle Utd","29","35","31","2,360",26.2,"8","12","8","0","0","4","0","5.7","5.7","8.9","79","83"
"Vitaliy Mykolenko","UKR","DF","Premier League","Everton","25","35","35","3,082",34.2,"1","2","1","0","0","4","0","0.5","0.5","2.6","33","110"
"Iliman Ndiaye","SEN","FW","Premier League","Everton","24","33","29","2,430",27,"9","0","7","2","2","3","0","6.2","4.7","1.9","86","59"
"Wilfred Ndidi","NGA","MF","Premier League","Leicester City","27","28","28","2,324",25.8,"0","5","0","0","0","8","0","2.0","2.0","1.9","18","70"
"Reiss Nelson","ENG","FW","Premier League","Fulham","24","11","5","487",5.4,"1","1","1","0","0","1","0","1.1","1.1","1.0","45","35"
"Pedro Neto","POR","FW","Premier League","Chelsea","24","35","24","2,269",25.2,"4","6","4","0","0","8","0","3.5","3.5","6.7","126","60"
"Eddie Nketiah","ENG","FW,MF","Premier League","Crystal Palace","25","29","9","1,034",11.5,"3","1","3","0","0","6","1","5.8","5.8","1.7","41","19"
"Christopher Nkunku","FRA","FW","Premier League","Chelsea","26","27","9","921",10.2,"3","2","3","0","0","2","0","4.8","4.8","2.1","17","25"
"Matheus Nunes","POR","DF,MF","Premier League","Manchester City","25","26","19","1,674",18.6,"1","6","1","0","0","4","0","1.2","1.2","4.4","63","79"
"Darwin Núñez","URU","FW","Premier League","Liverpool","25","30","8","1,133",12.6,"5","2","5","0","0","8","0","5.8","5.8","1.3","23","27"
"Ethan Nwaneri","ENG","FW,MF","Premier League","Arsenal","17","26","11","895",9.9,"4","2","4","0","0","1","0","1.2","1.2","1.2","46","33"
"Christian Nørgaard","DEN","MF","Premier League","Brentford","30","34","34","2,819",31.3,"5","4","5","0","0","8","1","4.3","4.3","1.3","14","154"
"Jake O'Brien","IRL","DF","Premier League","Everton","23","20","17","1,571",17.5,"2","0","2","0","0","5","0","0.8","0.8","0.6","7","50"
"Matt O'Riley","DEN","MF","Premier League","Brighton","23","21","11","938",10.4,"2","2","1","1","1","1","0","2.8","2.0","2.4","22","38"
"Dara O'Shea","IRL","DF","Premier League","Ipswich Town","25","35","35","3,122",34.7,"0","2","0","0","0","6","0","1.3","1.3","0.5","3","80"
"Wilson Odobert","FRA","FW,MF","Premier League","Tottenham","19","16","9","850",9.4,"1","0","1","0","0","0","0","1.6","1.6","1.0","45","27"
"Caleb Okoli","ITA","DF","Premier League","Leicester City","23","19","12","1,125",12.5,"1","0","1","0","0","4","0","0.6","0.6","0.0","3","32"
"Amadou Onana","BEL","MF","Premier League","Aston Villa","22","26","20","1,617",18,"3","0","3","0","0","4","0","2.1","2.1","0.7","29","75"
"André Onana","CMR","GK","Premier League","Manchester Utd","28","34","34","3,060",34,"0","0","0","0","0","0","0","0.0","0.0","0.2","0","1"
"Paul Onuachu","NGA","FW","Premier League","Southampton","30","25","11","1,050",11.7,"4","1","4","0","0","4","0","3.6","3.6","0.5","7","13"
"Stefan Ortega","GER","GK","Premier League","Manchester City","31","13","12","1,100",12.2,"0","0","0","0","0","1","0","0.0","0.0","0.0","0","0"
"Dango Ouattara","BFA","FW","Premier League","Bournemouth","22","32","21","2,005",22.3,"7","4","7","0","0","3","0","8.4","8.4","5.5","79","43"
"Nico O’Reilly","ENG","DF","Premier League","Manchester City","19","9","6","528",5.9,"2","0","2","0","0","0","0","1.3","1.3","0.4","16","17"
"Alex Palmer","ENG","GK","Premier League","Ipswich Town","27","13","13","1,170",13,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","1"
"Cole Palmer","ENG","MF,FW","Premier League","Chelsea","22","37","36","3,191",35.5,"15","8","11","4","5","7","0","17.3","13.3","10.9","120","214"
"Emerson Palmieri","ITA","DF","Premier League","West Ham","29","31","26","2,113",23.5,"2","1","2","0","0","5","0","2.0","2.0","1.5","47","66"
"Lucas Paquetá","BRA","MF,FW","Premier League","West Ham","26","33","27","2,380",26.4,"4","0","2","2","2","10","0","5.3","3.7","3.1","26","155"
"Thomas Partey","GHA","MF,DF","Premier League","Arsenal","31","35","31","2,797",31.1,"4","2","4","0","0","4","0","2.3","2.3","2.1","36","185"
"Andreas Pereira","BRA","MF","Premier League","Fulham","28","33","25","2,013",22.4,"2","4","2","0","1","7","0","3.8","3.0","4.6","29","104"
"Kalvin Phillips","ENG","MF","Premier League","Ipswich Town","28","19","14","1,237",13.7,"0","0","0","0","0","6","1","0.4","0.4","0.2","4","51"
"Jaden Philogene Bidace","ENG","FW,DF","Premier League","Ipswich Town","22","10","5","474",5.3,"2","0","2","0","0","1","0","2.0","2.0","0.2","13","10"
"Jordan Pickford","ENG","GK","Premier League","Everton","30","38","38","3,420",38,"0","1","0","0","0","7","0","0.0","0.0","0.4","0","0"
"Ethan Pinnock","JAM","DF","Premier League","Brentford","31","22","21","1,913",21.3,"2","0","2","0","0","2","0","1.1","1.1","1.2","3","41"
"Nick Pope","ENG","GK","Premier League","Newcastle Utd","32","28","28","2,520",28,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","1"
"Pedro Porro","ESP","DF","Premier League","Tottenham","24","33","28","2,610",29,"2","6","2","0","0","5","0","1.6","1.6","5.0","65","154"
"Jarell Quansah","ENG","DF","Premier League","Liverpool","21","13","4","495",5.5,"0","0","0","0","0","2","0","0.1","0.1","0.1","3","19"
"Aaron Ramsdale","ENG","GK","Premier League","Southampton","26","30","30","2,700",30,"0","0","0","0","0","2","0","0.0","0.0","0.0","0","0"
"Jacob Ramsey","ENG","FW,MF","Premier League","Aston Villa","23","29","19","1,623",18,"1","3","1","0","0","4","1","1.6","1.6","2.3","61","68"
"Marcus Rashford","ENG","FW,MF","Premier League","Manchester Utd","26","15","12","978",10.9,"4","1","4","0","0","2","0","1.7","1.7","2.1","20","21"
"Marcus Rashford","ENG","FW","Premier League","Aston Villa","26","10","4","444",4.9,"2","2","1","1","1","0","0","3.1","2.3","2.3","22","13"
"David Raya","ESP","GK","Premier League","Arsenal","28","38","38","3,420",38,"0","0","0","0","0","3","0","0.0","0.0","0.0","0","14"
"Declan Rice","ENG","MF","Premier League","Arsenal","25","35","33","2,825",31.4,"4","7","4","0","0","7","1","3.5","3.5","6.6","90","192"
"Chris Richards","USA","DF","Premier League","Crystal Palace","24","24","22","1,922",21.4,"1","0","1","0","0","4","1","1.4","1.4","0.1","6","39"
"Richarlison","BRA","FW","Premier League","Tottenham","27","15","4","504",5.6,"4","1","4","0","0","2","0","3.7","3.7","0.9","8","11"
"Andrew Robertson","SCO","DF","Premier League","Liverpool","30","33","29","2,482",27.6,"0","1","0","0","0","3","1","1.2","1.2","4.6","64","176"
"Antonee Robinson","USA","DF","Premier League","Fulham","26","36","35","3,167",35.2,"0","10","0","0","0","8","0","0.7","0.7","4.2","118","131"
"Guido Rodríguez","ARG","MF","Premier League","West Ham","30","23","16","1,149",12.8,"0","1","0","0","0","6","0","0.2","0.2","0.2","4","33"
"Mads Roerslev","DEN","DF","Premier League","Brentford","25","19","11","1,101",12.2,"0","2","0","0","0","2","0","0.2","0.2","3.0","17","51"
"Morgan Rogers","ENG","FW,MF","Premier League","Aston Villa","22","37","37","3,114",34.6,"8","10","8","0","0","10","0","6.6","6.6","7.8","114","123"
"Cristian Romero","ARG","DF","Premier League","Tottenham","26","18","18","1,416",15.7,"1","0","1","0","0","3","0","1.6","1.6","0.6","12","71"
"Georginio Rutter","FRA","MF,FW","Premier League","Brighton","22","28","19","1,656",18.4,"5","3","5","0","0","2","0","4.6","4.6","2.5","42","67"
"José Sá","POR","GK","Premier League","Wolves","31","29","29","2,609",29,"0","0","0","0","0","2","0","0.0","0.0","0.2","0","2"
"Bukayo Saka","ENG","FW,MF","Premier League","Arsenal","22","25","20","1,729",19.2,"6","10","5","1","1","3","0","6.8","6.0","7.6","96","70"
"Mohamed Salah","EGY","FW","Premier League","Liverpool","32","38","38","3,371",37.5,"29","18","20","9","9","1","0","25.2","18.2","14.2","154","144"
"William Saliba","FRA","DF","Premier League","Arsenal","23","35","35","3,039",33.8,"2","0","2","0","0","2","1","2.3","2.3","0.9","16","138"
"Robert Sánchez","ESP","GK","Premier League","Chelsea","26","32","32","2,880",32,"0","0","0","0","0","5","0","0.0","0.0","0.1","0","1"
"Jadon Sancho","ENG","FW","Premier League","Chelsea","24","31","19","1,764",19.6,"3","4","3","0","0","2","0","2.2","2.2","3.7","102","90"
"Ibrahim Sangaré","CIV","MF","Premier League","Nott'ham Forest","26","13","7","590",6.6,"0","1","0","0","0","3","0","0.0","0.0","0.4","1","27"
